date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:42:04	596945/596945	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:42:03%20GMT	https://www.facebook.com/ionicframework/?ref=nf&hc_ref=ARS8RIiOmmwCy22ocQPe5fx3pqfr_Oi7KP0zUD1TRjWdja4rrYjpWdz5kJzLvNn1xuY	ionic/ionic%203%20docs/www.facebook.com/ionicframework/index9959.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:42:04	599489/599489	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:42:03%20GMT	https://www.facebook.com/ionicframework/?ref=nf&hc_ref=ARTjfhbI2fkhhGdzFMYeH3uWjd20M_YcXvUPqIsYpInaw4HaV3Fgxb20GFsJsB7JoNE	ionic/ionic%203%20docs/www.facebook.com/ionicframework/index9329.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:42:04	190927/190927	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Oct%202017%2017:42:04%20GMT	https://www.facebook.com/ionicframework/about/XoQO	ionic/ionic%203%20docs/www.facebook.com/ionicframework/about/XoQO	(from https://www.facebook.com/ionicframework/about/?ref=page_internal)
18:42:05	195737/195737	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:42:05%20GMT	https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fionicframework%2F	ionic/ionic%203%20docs/www.facebook.com/login/index72ea.html	(from https://www.facebook.com/ionicframework/about/?ref=page_internal)
18:42:06	597365/597365	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:42:05%20GMT	https://www.facebook.com/ionicframework/?hc_ref=ARSXych_z-Zj9oEwjs3ezObwI6jQiHouQpJPkQE2_Upr6tx-70Y4LhK91dr-xuHXOX4&fref=nf	ionic/ionic%203%20docs/www.facebook.com/ionicframework/index0fa4.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:42:06	187083/187083	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Oct%202017%2017:42:06%20GMT	https://www.facebook.com/ionicframework/about/vwtR	ionic/ionic%203%20docs/www.facebook.com/ionicframework/about/vwtR	(from https://www.facebook.com/ionicframework/about/?ref=page_internal)
18:42:07	593235/593235	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:42:05%20GMT	https://www.facebook.com/ionicframework/?ref=nf&hc_ref=ARRXuvb3wW_glGlEd4pEWcUNMbnFgMlGluPk3DEoEKj02uA_oL5iehGayK4L72apefk	ionic/ionic%203%20docs/www.facebook.com/ionicframework/index11b0.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:42:07	599635/599635	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:42:05%20GMT	https://www.facebook.com/ionicframework/?hc_ref=ARTK5CxKA7JuV6bUbEQxc_dyVT5ld3zFLdF4Eue014OgzpsaWrcqObCqN09yeVK4EmI&fref=nf	ionic/ionic%203%20docs/www.facebook.com/ionicframework/indexb40a.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:42:07	216567/216567	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:42:07%20GMT	https://www.facebook.com/reg/	ionic/ionic%203%20docs/www.facebook.com/reg/index.html	(from https://www.facebook.com/ionicframework/about/?ref=page_internal)
18:42:07	187496/187496	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Oct%202017%2017:42:07%20GMT	https://www.facebook.com/ionicframework/about/dH2O	ionic/ionic%203%20docs/www.facebook.com/ionicframework/about/dH2O	(from https://www.facebook.com/ionicframework/about/?ref=page_internal)
18:42:08	190981/190981	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Oct%202017%2017:42:08%20GMT	https://www.facebook.com/ionicframework/about/QYEj	ionic/ionic%203%20docs/www.facebook.com/ionicframework/about/QYEj	(from https://www.facebook.com/ionicframework/about/?ref=page_internal)
18:42:10	0/-1	---M--	302	error ('')			https://www.facebook.com/campaign/landing.php?placement=pf_rhc&campaign_id=242449722530626&extra_1=auto	ionic/ionic%203%20docs/www.facebook.com/campaign/landing.34262c9.delayed	(from https://www.facebook.com/ionicframework/community/?ref=page_internal)
18:42:10	257460/257460	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:42:09%20GMT	https://www.facebook.com/ionicframework/community	ionic/ionic%203%20docs/www.facebook.com/ionicframework/community.html	(from https://www.facebook.com/ionicframework/community/?ref=page_internal)
18:42:10	244736/244736	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:42:10%20GMT	https://www.facebook.com/photo.php?fbid=694089650775659&set=pppbo.1321836767955949&type=3	ionic/ionic%203%20docs/www.facebook.com/photod596.html	(from https://www.facebook.com/ionicframework/community/?ref=page_internal)
18:42:12	244686/244686	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:42:11%20GMT	https://www.facebook.com/photo.php?fbid=1564721806876164&set=pppbo.1321836767955949&type=3	ionic/ionic%203%20docs/www.facebook.com/photo960d.html	(from https://www.facebook.com/ionicframework/community/?ref=page_internal)
18:42:13	245293/245293	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:42:12%20GMT	https://www.facebook.com/photo.php?fbid=1554969911215507&set=pppbo.1321836767955949&type=3	ionic/ionic%203%20docs/www.facebook.com/photod50a.html	(from https://www.facebook.com/ionicframework/community/?ref=page_internal)
18:42:14	242757/242757	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:42:13%20GMT	https://www.facebook.com/photo.php?fbid=965906023544705&set=pppbo.1321836767955949&type=3	ionic/ionic%203%20docs/www.facebook.com/photo9e9b.html	(from https://www.facebook.com/ionicframework/community/?ref=page_internal)
18:42:15	246040/246040	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:42:14%20GMT	https://www.facebook.com/photo.php?fbid=10155103888635087&set=pppbo.1321836767955949&type=3	ionic/ionic%203%20docs/www.facebook.com/photo5e0f.html	(from https://www.facebook.com/ionicframework/community/?ref=page_internal)
18:42:15	187558/187558	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Oct%202017%2017:42:15%20GMT	https://www.facebook.com/ionicframework/community/XoQO	ionic/ionic%203%20docs/www.facebook.com/ionicframework/community/XoQO	(from https://www.facebook.com/ionicframework/community/?ref=page_internal)
